id,parent_id,scientific_name,vernacular_name,rank
50874,50870,Lamnidae,Mackerel Sharks,family
50875,50874,Carcharodon,White Sharks,genus
50873,50875,Carcharodon carcharias,Great White Shark,species
71130,47208,Polyphaga,"Water, Rove, Scarab, Long-horned, Leaf, and Snout Beetles",suborder
58597,47922,Satyrinae,"Satyrs, Morphos, and Allies",subfamily
58598,58597,Satyrini,"Alpines, Arctics, Nymphs and Satyrs",tribe
60473,372852,Curculionoidea,Snout and Bark Beetles,superfamily
54028,1269342,Pompilidae,Spider Wasps,family
67564,3,Sphenisciformes,Penguins,order
55743,480704,Conidae,Cone Snails,family
56715,55743,Conus,,genus
53657,1472440,Tmarus,Octopus Spiders,genus
54549,3807,Pygoscelis antarcticus,Chinstrap Penguin,species
71261,3,Accipitriformes,"Hawks, Eagles, Kites, and Allies",order
71268,3,Suliformes,"Gannets, Cormorants, and Allies",order
84165,52029,Limacodidae,Slug Caterpillar Moths,family
71296,7251,Artamidae,"Woodswallows, Butcherbirds, and Currawongs",family
83796,246139,Architaenioglossa,"apple snails, river snails, and allies",order
84112,776180,Ampullariidae,Apple Snails,family
84111,1300249,Pomacea,Common Apple Snails,genus
74890,41435,Physeter macrocephalus,Sperm Whale,species
74103,41572,Balaena mysticetus,Bowhead Whale,species
74104,41547,Balaenoptera omurai,Omura's Whale,species
120474,47118,Araneomorphae,Typical Spiders,suborder
85552,26172,Sauria,Lizards,suborder
85553,26172,Serpentes,Snakes,suborder
85493,47120,Crustacea,Crustaceans,subphylum
122486,52002,Spilomelinae,Pearl Moths,subfamily
117766,41708,Phoca vitulina richardii,Pacific Harbor Seal,subspecies
117520,41860,Enhydra lutris nereis,Southern Sea Otter,subspecies
122635,48202,Trogidae,Keratin Beetles,family
122636,122635,Omorgus,Carcass Beetles,genus
112853,41489,Sotalia guianensis,Guyana Dolphin,species
124417,47201,Apocrita,"Narrow-waisted Wasps, Ants, and Bees",suborder
144117,1091452,Thecostraca,Barnacles and Allies,subclass
132781,54028,Pepsinae,,subfamily
127352,372759,Decapodiformes,Squids and Cuttlefishes,superorder
130839,372854,Byrrhoidea,"Pill, Water and Toe-winged Beetles",superfamily
131236,48460,Viruses,viruses,kingdom
126985,1637735,Priocnemis,,genus
133061,41860,Enhydra lutris kenyoni,Northern Sea Otter,subspecies
147154,41641,Ursus arctos arctos,Eurasian Brown Bear,subspecies
133060,41860,Enhydra lutris lutris,Western Sea Otter,subspecies
184884,47158,Pterygota,Winged and Once-winged Insects,subclass
196614,355675,Chondrichthyes,Cartilaginous Fishes,class
202077,58598,Pronophilina,,subtribe
173240,130839,Ptilodactylidae,Toe-winged Beetles,family
209460,41550,Balaenoptera acutorostrata acutorostrata,North Atlantic Minke Whale,subspecies
147882,41482,Tursiops truncatus ponticus,Black Sea Bottlenose Dolphin,subspecies
147641,41526,Delphinus delphis ponticus,Black Sea Common Dolphin,subspecies
147550,41553,Balaenoptera musculus brevicauda,Pygmy Blue Whale,subspecies
147551,41553,Balaenoptera musculus intermedia,Antarctic Blue Whale,subspecies
147845,41496,Stenella longirostris orientalis,Eastern Spinner Dolphin,subspecies
245097,47120,Chelicerata,Chelicerates,subphylum
246139,47114,Caenogastropoda,Caenogastropods,subclass
210289,144117,Cirripedia,Barnacles,infraclass
246134,127352,Oegopsida,Pelagic Squids,order
245417,53635,Chelonibiidae,,family
237465,41766,Odobenus rosmarus rosmarus,Atlantic Walrus,subspecies
245313,1366569,Architeuthidae,Giant Squids,family
246411,245313,Architeuthis,,genus
209461,41550,Balaenoptera acutorostrata scammoni,North Pacific Minke Whale,subspecies
237878,41708,Phoca vitulina mellonae,Ungava Seal,subspecies
326777,124417,Aculeata,"Ants, Bees, and Stinging Wasps",infraorder
342614,120474,Entelegynae,Entelegyne Spiders,infraorder
367176,342614,Thomisoidea,Thomisoidea Spiders,superfamily
318988,928021,Samea,,genus
248842,1067386,Chelonibia,,genus
253938,84111,Pomacea flagellata,Chivita Snail,species
361550,572894,Araeopidius,,genus
361543,361550,Araeopidius monachus,,species
253698,246411,Architeuthis dux,Giant Squid,species
306921,122636,Omorgus monachus,,species
372739,47120,Hexapoda,Hexapods,subphylum
372852,71130,Cucujiformia,Cucujiform Beetles,infraorder
372854,71130,Elateriformia,Elateriform Beetles,infraorder
371057,85552,Gekkota,Geckos,infraorder
372759,47459,Coleoidea,"Octopuses, Squids, and Cuttlefishes",subclass
372234,39532,Chelonioidea,Sea Turtles,superfamily
367389,48736,Dryophthorinae,,subfamily
446611,41553,Balaenoptera musculus musculus,Northern Blue Whale,subspecies
432094,56715,Conus monachus,Monastic Cone,species
413524,3808,Pygoscelis papua papua,Northern Gentoo Penguin,subspecies
473790,85493,Multicrustacea,Typical Crustaceans,superclass
464038,210289,Thoracica,Normal Barnacles,subterclass
480704,48289,Conoidea,Cone Snails and Allies,superfamily
446639,41687,Neomonachus,Hawaiian Monk Seals,genus
446640,446639,Neomonachus schauinslandi,Hawaiian Monk Seal,species
474974,1633604,Dalcerides,,genus
469961,41485,Sousa plumbea,Indian Humpback Dolphin,species
446644,41440,Phocoena phocoena relicta,Black Sea Porpoise,subspecies
446614,41755,Eumetopias jubatus monteriensis,Eastern Steller Sea Lion,subspecies
446615,41755,Eumetopias jubatus jubatus,Western Steller Sea Lion,subspecies
526556,41770,Lutrinae,Otters,subfamily
508027,367389,Rhynchophorini,,tribe
492346,30403,Hydrophiinae,Australian Elapids (inc. Sea Snakes),subfamily
483035,126985,Priocnemis monachus,Large black hunting wasp,species
500655,43643,Pithecia milleri,Miller's Saki,species
508823,41472,Inia geoffrensis boliviensis,Bolivian River Dolphin,subspecies
533484,41691,Pusa hispida ladogensis,Lake Ladoga Seal,subspecies
531609,41691,Pusa hispida saimensis,Saimaa Ringed Seal,subspecies
520333,19349,Myiopsitta monachus luchsi,Cliff Parakeet,subspecies
508529,19349,Myiopsitta monachus cotorra,Paraguayan Monk Parakeet,subspecies
554251,936377,Platyrrhini,New World Monkeys,parvorder
551307,47273,Selachii,Sharks,infraclass
551308,551307,Galeomorphi,Galean Sharks,superorder
566601,41708,Phoca vitulina vitulina,Atlantic Harbor Seal,subspecies
551436,246139,Campaniloidea,,superfamily
572894,173240,Araeopidiinae,,subfamily
541892,474974,Dalcerides alba,,species
555603,16793,Tyrannus savana monachus,,subspecies
533493,41691,Pusa hispida botnica,Baltic Ringed Seal,subspecies
533494,41691,Pusa hispida ochotensis,Okhotsk Ringed Seal,subspecies
702480,71130,Scarabaeiformia,Scarabaeiform Beetles,infraorder
623433,41440,Phocoena phocoena phocoena,Atlantic Harbor Porpoise,subspecies
623441,41440,Phocoena phocoena vomerina,Pacific Harbour Porpoise,subspecies
575103,41485,Sousa sahulensis,Australian Humpback Dolphin,species
702570,41472,Inia geoffrensis geoffrensis,Amazon River Dolphin,subspecies
626289,202077,Quilaphoetosus,,genus
698251,41529,Globicephala melas edwardii,Southern Long-finned Pilot Whale,subspecies
698783,41496,Stenella longirostris longirostris,Gray’s Spinner Dolphin,subspecies
629551,2427,Actenoides monachus monachus,Blue-headed Kingfisher,subspecies
656915,248842,Chelonibia caretta,,species
705331,41566,Megaptera novaeangliae australis,Southern Humpback Whale,subspecies
705330,41566,Megaptera novaeangliae novaeangliae,North Atlantic Humpback Whale,subspecies
705329,41566,Megaptera novaeangliae kuzira,North Pacific Humpback Whale,subspecies
705323,41482,Tursiops truncatus truncatus,Common Bottlenose Dolphin,subspecies
711288,41733,Halichoerus grypus grypus,Baltic Grey Seal,subspecies
705318,41482,Tursiops truncatus gephyreus,Lahille's Bottlenose Dolphin,subspecies
711285,41720,Erignathus barbatus barbatus,Atlantic Bearded Seal,subspecies
709337,3808,Pygoscelis papua ellsworthi,Southern Gentoo Penguin,subspecies
711286,41720,Erignathus barbatus nauticus,Pacific Bearded Seal,subspecies
705324,41553,Balaenoptera musculus indica,Northern Indian Blue Whale,subspecies
776180,83796,Ampullarioidea,apple snails,superfamily
711289,41733,Halichoerus grypus atlantica,Atlantic Grey Seal,subspecies
726681,19349,Myiopsitta monachus monachus,South American Monk Parakeet,subspecies
746264,1134336,Papillomaviridae,Warts,family
777417,41500,Stenella attenuata graffmani,Coastal Spotted Dolphin,subspecies
778491,41562,Balaenoptera physalus physalus,Northern Fin Whale,subspecies
728236,12329,Philemon corniculatus monachus,Southern Noisy Friarbird,subspecies
711292,41691,Pusa hispida hispida,Arctic Ringed Seal,subspecies
777415,41500,Stenella attenuata attenuata,offshore pantropical spotted dolphin,subspecies
778490,41559,Balaenoptera borealis schlegelii,Southern Sei Whale,subspecies
786045,43367,Haplorhini,"Monkeys, Apes, and Tarsiers",suborder
797541,39657,Carettinae,"Hawksbill, Loggerhead, and Ridley Sea Turtles",subfamily
783080,746264,Firstpapillomavirinae,Terrestrial Vertebrate Papillomaviruses,subfamily
801536,551436,Plesiotrochidae,,family
778492,41526,Delphinus delphis delphis,,subspecies
785322,1100884,Eugnoristus,,genus
785321,785322,Eugnoristus monachus,,species
780509,41562,Balaenoptera physalus quoyi,Southern Fin Whale,subspecies
781408,41559,Balaenoptera borealis borealis,Northern Sei Whale,subspecies
783107,783080,Dyozetapapillomavirus,ζ2 Testudine Papillomaviruses,genus
848323,848320,Euarchontoglires,"Primates, Rodents, and Allies",superorder
936377,786045,Simiiformes,Monkeys and Apes,infraorder
928021,122486,Nomophilini,,tribe
846255,41636,Ursinae,Typical Bears,subfamily
846203,43642,Pitheciinae,Sakis and Uakaris,subfamily
846059,1317260,Pontoporiidae,Estuarine River Dolphins,family
963168,41529,Globicephala melas melas,Northern Long-finned Pilot Whale,subspecies
852369,43643,Pithecia monachus,Monk Saki,species
825120,53657,Tmarus caretta,,species
850967,41402,Mesoplodon hotaula,Deraniyagala's Beaked Whale,species
980017,7251,Tyrannidae,Tyrant Flycatchers,family
1091452,473790,Hexanauplia,Barnacles and Copepods,class
1040842,464038,Thoracicalcarea,Thoracican Barnacles,superorder
980192,7251,Leiothrichidae,Laughingthrushes and Allies,family
1100884,508027,Litosomina,,subtribe
1067386,245417,Chelonibiinae,,subfamily
970572,41766,Odobenus rosmarus divergens,Pacific Walrus,subspecies
1118474,801536,Plesiotrochus,,genus
1045501,626289,Quilaphoetosus monachus,,species
1063781,318988,Samea carettalis,,species
1269342,326777,Pompiloidea,"Spider Wasps, Velvet Ants, and Allies",superfamily
1289299,980192,Pterorhinus,,genus
1289331,4262,Leucocarbo,Blue-eyed Shags and allies,genus
1289402,1289299,Pterorhinus chinensis,Black-throated Laughingthrush,species
1134331,131236,Cossaviricota,,phylum
1134333,1134331,Papovaviricetes,,class
1134336,1134333,Zurhausenvirales,,order
1149437,1118474,Plesiotrochus monachus,,species
1127950,35099,Suta monachus,Inland Hooded Snake,species
1155858,41424,Berardius minimus,Least Beaked Whale,species
1317267,41479,Delphininae,Long-nosed Dolphins,subfamily
1300249,84112,Pomaceinae,,subfamily
1317295,1317265,Sagmatias,,genus
1317260,424322,Inioidea,American River Dolphins,superfamily
1289590,1289331,Leucocarbo bransfieldensis,Antarctic Shag,species
1306016,41446,Phocoenoides dalli dalli,Dall's Porpoise,subspecies
1365377,3808,Pygoscelis papua taeniata,eastern gentoo penguin,subspecies
1289817,1289402,Pterorhinus chinensis monachus,Black-throated Laughingthrush (Hainan),subspecies
1365378,3808,Pygoscelis papua poncetii,South Georgian Gentoo Penguin,subspecies
1306017,41446,Phocoenoides dalli truei,True's Porpoise,subspecies
1366913,39657,Cheloniinae,Green and Flatback Sea Turtles,subfamily
1368491,1317295,Sagmatias obliquidens,Pacific White-sided Dolphin,species
1368492,1317295,Sagmatias obscurus,Dusky Dolphin,species
1368482,41479,Leucopleurus,,genus
1368483,1368482,Leucopleurus acutus,Atlantic White-sided Dolphin,species
1368489,1317295,Sagmatias australis,Peale's Dolphin,species
1408504,41526,Delphinus delphis bairdii,Eastern Pacific Long-beaked Common Dolphin,subspecies
1368490,1317295,Sagmatias cruciger,Hourglass Dolphin,species
1366569,246134,Architeuthoidea,Giant Squids and Neosquids,superfamily
1408503,41526,Delphinus delphis tropicalis,Indo-Pacific Common Dolphin,subspecies
1472437,47866,Thomisinae,,subfamily
1541533,5067,Aegypiinae,Typical Old World Vultures,subfamily
1541352,1627,Centropodinae,Coucals,subfamily
1472440,1472437,Tmarini,,tribe
1453916,41547,Balaenoptera brydei,Bryde's Whale,species
1435993,41496,Stenella longirostris centroamericana,Central American Spinner Dolphin,subspecies
1500452,41547,Balaenoptera musculus × physalus,Blue × Fin Whale,hybrid
1471381,1471382,Dyozetapapillomavirus one cmpv-i,Green Sea Turtle Papillomavirus 1,subspecies
1471382,783107,Dyozetapapillomavirus one,,species
1471380,1471382,Dyozetapapillomavirus one ccpv-i,Loggerhead Sea Turtle Papillomavirus 1,subspecies
1563907,85552,Iguania,,infraorder
1567778,1563907,Acrodonta,,parvorder
1542375,2314,Halcyoninae,Tree Kingfishers,subfamily
1633602,84165,Dalcerinae,Jewel Caterpillar Moths,subfamily
1633604,1633602,Acragini,,tribe
1602533,41521,Orcinus orca rectipinnus,Bigg's Killer Whale,subspecies
1602531,41521,Orcinus orca ater,Resident Killer Whale,subspecies
1621825,41514,Cephalorhynchus commersonii commersonii,,subspecies
1621824,41514,Cephalorhynchus commersonii kerguelenensis,Kerguelen Dolphin,subspecies
1602532,41521,Orcinus orca orca,Common Killer Whale,subspecies
1637735,132781,Priocnemini,,tribe
41775,526556,Lontra,New World River Otters,genus
41777,41775,Lontra canadensis,North American River Otter,species
236798,41777,Lontra canadensis pacifica,Western River Otter,subspecies
201557,41777,Lontra canadensis lataxina,Southeastern River Otter,subspecies
939769,41777,Lontra canadensis periclyzomae,Haida Gwaii River Otter,subspecies
1248936,41777,Lontra canadensis canadensis,Northeastern River Otter,subspecies
236795,41777,Lontra canadensis kodiacensis,Kodiak Island River Otter,subspecies
236797,41777,Lontra canadensis mira,Prince of Wales River Otter,subspecies
211197,41777,Lontra canadensis sonora,Southwestern River Otter,subspecies
